title,genre,year,rating,director,plot,runtime,cast,budget,revenue
Jurassic Park,Science Fiction Adventure,1993,8.2,Steven Spielberg,A pragmatic paleontologist touring an almost complete theme park is tasked with protecting a couple of kids.,127,"Sam Neill, Laura Dern, Jeff Goldblum",63000000,914691118
The Terminator,Science Fiction Action,1984,8.1,James Cameron,A cyborg assassin is sent back in time to kill the mother of the leader of the human resistance against the machines.,107,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn",6400000,78371200
Back to the Future,Science Fiction Comedy,1985,8.5,Robert Zemeckis,A teenager is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his friend.,116,"Michael J. Fox, Christopher Lloyd, Lea Thompson",19000000,388328455
The Ring,Horror Thriller,2002,7.3,Gore Verbinski,A journalist must investigate a mysterious videotape which seems to cause the death of anyone in a week of viewing it.,115,"Naomi Watts, Martin Henderson, David Dorfman",48000000,249346213
A Quiet Place,Horror Thriller,2018,7.5,John Krasinski,"In a world filled with sound-hunting monsters, the only way to survive is to stay quiet.",90,"Emily Blunt, John Krasinski, Millicent Simmonds",17000000,374505500
The Conjuring,Horror Thriller,2013,7.5,James Wan,Paranormal investigators work to help a family terrorized by a dark presence in their farmhouse.,112,"Vera Farmiga, Patrick Wilson, Ron Livingston",20000000,319475522
Toy Story,Animation Comedy,1995,8.3,John Lasseter,A cowboy doll is profoundly threatened when a new spaceman figure supplants him as top toy in a boy's bedroom.,81,"Tom Hanks, Tim Allen, Don Rickles",30000000,365019265
Schindler's List,Horror Thriller,1971,8.8,Damien Chazelle,An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,174,"Actor 0, Actor 1, Actor 2",56674928,2586146025
The Sixth Sense,Historical Drama,1972,5.6,Damien Chazelle,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,157,"Actor 0, Actor 1, Actor 2",116750149,2841232393
Unbreakable,Historical Drama,1984,7.5,"Steven Spielberg, Denis Villeneuve",An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,134,"Actor 0, Actor 1, Actor 2, Actor 3",159181041,717779376
Split,Drama Crime,2018,7.0,Barry Jenkins,An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,125,"Actor 0, Actor 1, Actor 2, Actor 3",152013556,236618211
Glass,Romance Drama,2004,6.0,"David Fincher, Spike Lee",An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,160,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",204151326,2529708607
The Usual Suspects,Drama Crime,2015,5.8,Peter Jackson,An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,109,"Actor 0, Actor 1, Actor 2",214078714,1243887545
Heat,Romance Drama,2010,9.2,Greta Gerwig,An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,106,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",153332624,2985814872
L.A. Confidential,Comedy Drama,2008,8.3,Denis Villeneuve,An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,128,"Actor 0, Actor 1, Actor 2, Actor 3",127904996,2990395823
The Departed,Comedy Animation,2023,8.9,Damien Chazelle,An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,120,"Actor 0, Actor 1, Actor 2, Actor 3",153742291,334277889
Mystic River,Drama Crime,2006,9.4,"Cary Joji Fukunaga, Alejandro González Iñárritu",An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,162,"Actor 0, Actor 1, Actor 2, Actor 3",86703600,1187651678
Prisoners,Romance Comedy,1985,8.8,"Hayao Miyazaki, Wong Kar-wai",An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,131,"Actor 0, Actor 1, Actor 2, Actor 3",127746935,644130308
Sicario,Biography,1975,8.8,Quentin Tarantino,An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,100,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",236645405,2611557300
Wind River,Comedy Drama,1994,7.2,"Alfonso Cuarón, Brad Bird",An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,81,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",71499497,2977923735
True Grit,Science Fiction Drama,2019,8.3,Peter Jackson,An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,100,"Actor 0, Actor 1, Actor 2, Actor 3",11742315,1181247330
No Country for Old Men,Action Thriller,2002,9.5,"Alfonso Cuarón, Cary Joji Fukunaga",An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,127,"Actor 0, Actor 1, Actor 2",299576908,2327851678
There Will Be Blood,Action Adventure,2008,6.9,Christopher Nolan,An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,119,"Actor 0, Actor 1, Actor 2",41098339,1084535593
Phantom Thread,Comedy Drama,1975,8.7,Spike Lee,An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,96,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",265165283,2411388464
The Master,Action Thriller,1986,7.8,"Cary Joji Fukunaga, Spike Lee",An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,168,"Actor 0, Actor 1, Actor 2",177351411,1763658874
Whiplash,Family Adventure,1998,9.5,"Christopher Nolan, Damien Chazelle",An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,88,"Actor 0, Actor 1, Actor 2, Actor 3",21292683,2576766690
La La Land,Adventure Fantasy,2007,6.5,Martin Scorsese,An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,88,"Actor 0, Actor 1, Actor 2",187397447,354330003
Moonlight,Adventure Fantasy,1987,8.4,Spike Lee,An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,172,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",263763327,1093665192
Black Panther,Biography,2021,7.3,Christopher Nolan,An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,135,"Actor 0, Actor 1, Actor 2, Actor 3",237407042,1815670844
Captain America: The Winter Soldier,Romance Drama,2016,5.7,Martin Scorsese,An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,173,"Actor 0, Actor 1, Actor 2, Actor 3",68663364,1117970820
Iron Man,Drama Crime,1982,7.9,Wong Kar-wai,An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,115,"Actor 0, Actor 1, Actor 2, Actor 3",144113815,373775634
Doctor Strange,Romance Drama,2021,9.3,Martin Scorsese,An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,149,"Actor 0, Actor 1, Actor 2",60070070,1065242176
Thor: Ragnarok,Action Thriller,1996,7.6,Barry Jenkins,An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,101,"Actor 0, Actor 1, Actor 2, Actor 3",11157156,1726848676
Avengers: Infinity War,Science Fiction Drama,2020,9.0,"Wong Kar-wai, Spike Lee",An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,171,"Actor 0, Actor 1, Actor 2, Actor 3",93105914,865605132
Avengers: Endgame,Action Crime,1983,9.8,James Cameron,An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,86,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",265973885,2209725924
Spider-Man: Into the Spider-Verse,Action Thriller,1973,9.7,Denis Villeneuve,An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,156,"Actor 0, Actor 1, Actor 2",136274130,1784202799
The Lego Movie,Horror Thriller,2006,6.6,Park Chan-wook,An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,133,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",290666834,1408798143
Coco,Science Fiction Drama,1983,8.4,"Damien Chazelle, Brad Bird",An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,96,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",171059704,2013764597
Inside Out,Comedy Animation,2018,9.6,Bong Joon-ho,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,152,"Actor 0, Actor 1, Actor 2",49331548,2359122187
Frozen,Drama Crime,2002,6.7,"David Fincher, Damien Chazelle",An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,116,"Actor 0, Actor 1, Actor 2",245248548,2383103372
Spirited Away,Action Crime,2009,9.8,Spike Lee,An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,164,"Actor 0, Actor 1, Actor 2",82096993,1185872495
Your Name,Horror Thriller,1976,8.8,Brad Bird,An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,157,"Actor 0, Actor 1, Actor 2",194082453,924443787
A Silent Voice,Science Fiction Drama,2002,7.6,David Fincher,An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,134,"Actor 0, Actor 1, Actor 2, Actor 3",33668901,65228622
Makoto Shinkai Films,Comedy Animation,2019,6.1,"Denis Villeneuve, Bong Joon-ho",An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,170,"Actor 0, Actor 1, Actor 2, Actor 3",15191380,530494664
The Hunger Games,Comedy Drama,2014,9.5,Greta Gerwig,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,150,"Actor 0, Actor 1, Actor 2",240739986,597374338
The Maze Runner,Science Fiction Action,1989,7.1,Greta Gerwig,An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,167,"Actor 0, Actor 1, Actor 2",65186904,1569038154
Ready Player One,Historical Drama,2009,8.8,Denis Villeneuve,An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,132,"Actor 0, Actor 1, Actor 2",106293522,1476725702
Aquaman,Historical Drama,2021,8.4,Brad Bird,An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,180,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",68033396,1693004186
Wonder Woman,Science Fiction Action,2024,7.6,Bong Joon-ho,An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,119,"Actor 0, Actor 1, Actor 2",129681170,151637979
Joker,Drama Crime,1995,6.9,Brad Bird,An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,162,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",224575699,2968508077
Superman,Comedy Animation,1997,8.2,Barry Jenkins,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,104,"Actor 0, Actor 1, Actor 2, Actor 3",33829837,1922852789
X-Men: Days of Future Past,Action Adventure,2003,9.6,Greta Gerwig,An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,88,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",187274793,2726432103
Deadpool,Comedy Animation,2012,9.2,"Alfonso Cuarón, Peter Jackson",An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,132,"Actor 0, Actor 1, Actor 2, Actor 3",226037062,1319829408
Logan,Romance Comedy,1982,7.3,"Denis Villeneuve, Hayao Miyazaki",An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,131,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",10217937,1355132983
Eternals,Action Crime,1983,7.4,"Bong Joon-ho, Park Chan-wook",An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,166,"Actor 0, Actor 1, Actor 2",284434449,2082319170
Black Widow,Action Thriller,2012,5.9,"David Fincher, Damien Chazelle",An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,119,"Actor 0, Actor 1, Actor 2",116907069,682880459
Shang-Chi,Action Adventure,1972,6.6,"Park Chan-wook, David Fincher",An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,133,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",114386621,1699174966
The Matrix Resurrections,Biography,1995,6.6,Christopher Nolan,An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,108,"Actor 0, Actor 1, Actor 2",288076450,2045226582
Twisters,Science Fiction Action,2005,6.6,Bong Joon-ho,An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,139,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",295149257,2450565848
Asteroid City,Comedy Animation,2018,9.4,"Spike Lee, Bong Joon-ho",An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,175,"Actor 0, Actor 1, Actor 2, Actor 3",251629363,1163219231
Poor Things,Adventure Fantasy,2023,8.3,"Damien Chazelle, Brad Bird",An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,89,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",163399134,1057142260
Killers of the Flower Moon,Science Fiction Drama,1991,6.9,Quentin Tarantino,An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,109,"Actor 0, Actor 1, Actor 2, Actor 3",92036700,968920620
Barbie,Comedy Drama,1996,7.3,"Wong Kar-wai, Martin Scorsese",An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,133,"Actor 0, Actor 1, Actor 2, Actor 3",20486136,2522571231
Oppenheimer,Mystery Thriller,2000,5.5,"Peter Jackson, Barry Jenkins",An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,148,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",128400809,2146929657
The Brutalist,Adventure Fantasy,1987,7.4,Barry Jenkins,An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,165,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",227065859,758861714
Past Lives,Romance Drama,1978,9.8,Barry Jenkins,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,152,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",24550303,410551585
Anatomy of a Fall,Historical Drama,1978,9.3,Martin Scorsese,An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,128,"Actor 0, Actor 1, Actor 2, Actor 3",123634251,2002918745
The Zone of Interest,Comedy Animation,1991,8.8,"Brad Bird, Wong Kar-wai",An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,90,"Actor 0, Actor 1, Actor 2, Actor 3",20406320,2366787198
Sanctuary,Science Fiction Action,1992,6.5,Martin Scorsese,An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,111,"Actor 0, Actor 1, Actor 2",20941438,2718616333
All of Us Strangers,Romance Comedy,1985,6.1,Hayao Miyazaki,An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,139,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",147569787,1634392711
Saltburn,Action Thriller,2008,8.2,Denis Villeneuve,An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,93,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",23785996,1389846171
Guardians of the Galaxy Vol. 3,Mystery Thriller,1995,9.6,David Fincher,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,168,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",140378770,487662764
The Marvels,Action Crime,2024,8.5,Hayao Miyazaki,An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,124,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",239983693,2891212515
Ant-Man: Quantumania,Family Adventure,1974,7.7,"Steven Spielberg, Wong Kar-wai",An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,93,"Actor 0, Actor 1, Actor 2, Actor 3",204448221,2779817240
Blue Beetle,Romance Drama,2015,6.2,Alfonso Cuarón,An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,114,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",298929379,2126605983
Dungeons & Dragons: Honor Among Thieves,Romance Drama,1997,9.1,"James Cameron, Damien Chazelle",An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,115,"Actor 0, Actor 1, Actor 2, Actor 3",140923185,2045907669
Five Nights at Freddy's,Mystery Thriller,1991,5.6,"Denis Villeneuve, Alejandro González Iñárritu",An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,125,"Actor 0, Actor 1, Actor 2, Actor 3",192718024,1251124041
Insidious,Science Fiction Drama,2005,5.5,David Fincher,An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,172,"Actor 0, Actor 1, Actor 2, Actor 3",272303235,2434463652
Insidious: Chapter 2,Adventure Fantasy,2014,7.6,"Bong Joon-ho, Steven Spielberg",An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,117,"Actor 0, Actor 1, Actor 2",227111200,1094987715
Conjuring 2,Action Crime,2012,8.1,"Spike Lee, Alfonso Cuarón",An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,134,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",187592227,1561014697
Annabelle,Romance Drama,1987,6.8,Christopher Nolan,An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,104,"Actor 0, Actor 1, Actor 2, Actor 3",74185463,2351518177
The Ring Two,Action Thriller,1982,6.5,"Brad Bird, Hayao Miyazaki",An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,156,"Actor 0, Actor 1, Actor 2, Actor 3",63969543,883728665
Sinister,Action Crime,1984,7.1,"Steven Spielberg, Spike Lee",An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,115,"Actor 0, Actor 1, Actor 2",39273432,2426658660
Hereditary,Action Crime,2014,9.7,"Christopher Nolan, Steven Spielberg",An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,116,"Actor 0, Actor 1, Actor 2, Actor 3",267007733,1941799103
Midsommar,Comedy Animation,1981,9.7,"Alejandro González Iñárritu, Christopher Nolan",An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,131,"Actor 0, Actor 1, Actor 2, Actor 3",49772562,2528286982
Candyman,Science Fiction Action,1979,6.2,"David Fincher, Damien Chazelle",An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,151,"Actor 0, Actor 1, Actor 2, Actor 3",131164857,2294431947
Get Out,Mystery Thriller,1998,9.5,"Hayao Miyazaki, Wong Kar-wai",An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,152,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",42335898,2668344818
Us,Horror Thriller,2018,6.4,Brad Bird,An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,90,"Actor 0, Actor 1, Actor 2",138776637,796523513
Nope,Comedy Drama,1980,5.5,"Park Chan-wook, Alejandro González Iñárritu",An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,84,"Actor 0, Actor 1, Actor 2",164675132,1264266162
A Clockwork Orange,Romance Drama,1974,8.5,"Hayao Miyazaki, Cary Joji Fukunaga",An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,94,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",130693652,2831569954
2001: A Space Odyssey,Romance Comedy,1987,9.1,Martin Scorsese,An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,119,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",164946631,1936149718
Blade Runner,Horror Thriller,1999,8.5,"Brad Bird, Alfonso Cuarón",An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,143,"Actor 0, Actor 1, Actor 2, Actor 3",53186891,2618547910
Blade Runner 2049,Science Fiction Action,1997,8.7,"Steven Spielberg, David Fincher",An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,166,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",21137631,2937427412
Alien,Science Fiction Drama,2006,5.7,Alejandro González Iñárritu,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,163,"Actor 0, Actor 1, Actor 2, Actor 3",159334175,829489931
Aliens,Historical Drama,2010,9.1,Alejandro González Iñárritu,An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,132,"Actor 0, Actor 1, Actor 2, Actor 3",182366839,2928201524
The Thing,Horror Thriller,2024,6.2,"Alejandro González Iñárritu, Peter Jackson",An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,131,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",29701623,2003462417
The Fly,Comedy Drama,1990,6.6,Barry Jenkins,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,80,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",258021663,1824884818
The Elephant Man,Science Fiction Action,1982,7.8,"Bong Joon-ho, Martin Scorsese",An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,114,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",80337190,1287075775
Videodrome,Romance Drama,2014,7.6,Park Chan-wook,An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,170,"Actor 0, Actor 1, Actor 2",176832711,2415835550
Eraserhead,Action Adventure,2005,7.3,Christopher Nolan,An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,95,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",92662617,2190506492
Mulholland Drive,Action Crime,2002,8.6,"Alejandro González Iñárritu, Park Chan-wook",An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,138,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",87654064,1697489402
Inland Empire,Drama Crime,2008,7.7,David Fincher,An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,178,"Actor 0, Actor 1, Actor 2, Actor 3",192469129,2230716723
The Straight Story,Science Fiction Drama,2022,5.5,"Hayao Miyazaki, Park Chan-wook",An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,142,"Actor 0, Actor 1, Actor 2",249738307,2363185971
Blue Velvet,Biography,1992,7.0,"Bong Joon-ho, James Cameron",An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,169,"Actor 0, Actor 1, Actor 2",215605909,1053143045
Twin Peaks: Fire Walk with Me,Historical Drama,1972,6.9,"Barry Jenkins, Park Chan-wook",An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,163,"Actor 0, Actor 1, Actor 2",275927541,208998032
Wild at Heart,Romance Comedy,2002,9.7,"Christopher Nolan, Bong Joon-ho",An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,147,"Actor 0, Actor 1, Actor 2, Actor 3",18239679,669142798
Stalker,Comedy Drama,2024,6.9,"James Cameron, Alejandro González Iñárritu",An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,84,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",46733109,1058330525
Solaris,Action Crime,1984,8.8,"Christopher Nolan, Park Chan-wook",An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,101,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",170774624,174327519
Andrei Rublev,Science Fiction Action,1990,9.0,"Greta Gerwig, Park Chan-wook",An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,98,"Actor 0, Actor 1, Actor 2",295167747,1819748771
Mirror,Action Thriller,1980,6.3,"Park Chan-wook, Damien Chazelle",An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,154,"Actor 0, Actor 1, Actor 2",134655220,2030623803
Seven Samurai,Science Fiction Drama,1999,6.6,Bong Joon-ho,An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,166,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",94812518,367234448
Rashomon,Romance Drama,1992,9.8,"Wong Kar-wai, Brad Bird",An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,118,"Actor 0, Actor 1, Actor 2",216530612,2125362821
Ikiru,Horror Thriller,1985,7.2,"Hayao Miyazaki, Peter Jackson",An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,117,"Actor 0, Actor 1, Actor 2",222496591,1228884276
Sanjuro,Action Adventure,2006,9.3,Park Chan-wook,An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,143,"Actor 0, Actor 1, Actor 2, Actor 3",133543871,2657324296
Pan's Labyrinth,Family Adventure,1984,8.3,"Quentin Tarantino, Christopher Nolan",An engaging story about transformation that captivates audiences with compelling characters and unexpected twists.,162,"Actor 0, Actor 1, Actor 2",175857076,1943321208
The Devil's Backbone,Science Fiction Action,2007,7.1,David Fincher,An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,121,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",233071524,804368373
Crimson Peak,Drama Crime,1978,9.0,"Alfonso Cuarón, Park Chan-wook",An engaging story about romance that captivates audiences with compelling characters and unexpected twists.,101,"Actor 0, Actor 1, Actor 2, Actor 3",268690083,1317622868
Nightmare Alley,Comedy Animation,2021,6.0,Quentin Tarantino,An engaging story about mystery that captivates audiences with compelling characters and unexpected twists.,166,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",223358670,2443639475
The Shape of Water,Family Adventure,1975,9.0,Brad Bird,An engaging story about discovery that captivates audiences with compelling characters and unexpected twists.,95,"Actor 0, Actor 1, Actor 2, Actor 3",207882919,2939775885
Guillermo del Toro's Pinocchio,Science Fiction Drama,2007,7.2,"Christopher Nolan, Damien Chazelle",An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,83,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",186097029,2670283102
Swamp Thing,Adventure Fantasy,2011,5.8,"Peter Jackson, Wong Kar-wai",An engaging story about adventure that captivates audiences with compelling characters and unexpected twists.,97,"Actor 0, Actor 1, Actor 2",29978109,1357235909
Creature from the Black Lagoon,Biography,1977,5.9,Barry Jenkins,An engaging story about survival that captivates audiences with compelling characters and unexpected twists.,127,"Actor 0, Actor 1, Actor 2, Actor 3, Actor 4",235016962,2572607583
